medium,frequency_hz,amplitude_v,phase_deg,x_v,y_v,chunk_timestamp,medium,frequency_hz,phase_deg,chunk_timestamp
AIR,142021.0105051467,5.41186e-05,0.204032,5.28004e-05,1.08544e-05,650694397781,AIR,142021.0105051467,0.204032,650694397781
AIR,143071.535767767,5.45298e-05,0.211495,5.32544e-05,1.14021e-05,650694397781,AIR,143071.535767767,0.211495,650694397781
AIR,144122.0610303873,5.29551e-05,0.212914,5.16692e-05,1.1171e-05,650694397781,AIR,144122.0610303873,0.212914,650694397781
AIR,145172.5862930076,5.38086e-05,0.177919,5.28496e-05,9.55313e-06,650694397781,AIR,145172.5862930076,0.177919,650694397781
AIR,146223.1115556278,5.27076e-05,0.208509,5.14328e-05,1.09142e-05,650694397781,AIR,146223.1115556278,0.208509,650694397781
AIR,147273.6368182481,5.24056e-05,0.217845,5.10186e-05,1.13821e-05,650694397781,AIR,147273.6368182481,0.217845,650694397781
AIR,148324.1620808684,5.30296e-05,0.237322,5.14897e-05,1.24624e-05,650694397781,AIR,148324.1620808684,0.237322,650694397781
AIR,149374.6873434887,5.29556e-05,0.194527,5.18572e-05,1.02969e-05,650694397781,AIR,149374.6873434887,0.194527,650694397781
AIR,150425.212606109,5.26329e-05,0.21293,5.13755e-05,1.10911e-05,650694397781,AIR,150425.212606109,0.21293,650694397781
AIR,151475.7378687293,5.43681e-05,0.206508,5.31194e-05,1.11079e-05,650694397781,AIR,151475.7378687293,0.206508,650694397781
AIR,152526.2631313496,5.32431e-05,0.191212,5.21971e-05,1.00388e-05,650694397781,AIR,152526.2631313496,0.191212,650694397781
AIR,153576.7883939698,5.34895e-05,0.196538,5.23629e-05,1.04552e-05,650694397781,AIR,153576.7883939698,0.196538,650694397781
AIR,154627.3136565901,5.30353e-05,0.197295,5.18656e-05,1.03722e-05,650694397781,AIR,154627.3136565901,0.197295,650694397781
AIR,155677.8389192104,5.36631e-05,0.192334,5.26165e-05,1.023e-05,650694397781,AIR,155677.8389192104,0.192334,650694397781
AIR,156728.3641818307,5.42225e-05,0.193538,5.31178e-05,1.03644e-05,650694397781,AIR,156728.3641818307,0.193538,650694397781
AIR,157778.889444451,5.30374e-05,0.210248,5.17842e-05,1.10852e-05,650694397781,AIR,157778.889444451,0.210248,650694397781
AIR,158829.4147070712,5.34023e-05,0.203444,5.22126e-05,1.0747e-05,650694397781,AIR,158829.4147070712,0.203444,650694397781
AIR,159879.9399696915,5.2967e-05,0.205074,5.179e-05,1.07788e-05,650694397781,AIR,159879.9399696915,0.205074,650694397781
AIR,160930.4652323118,5.35227e-05,0.170272,5.2671e-05,9.0083e-06,650694397781,AIR,160930.4652323118,0.170272,650694397781
AIR,161980.9904949321,5.45193e-05,0.203669,5.33346e-05,1.09957e-05,650694397781,AIR,161980.9904949321,0.203669,650694397781
AIR,163031.5157575524,5.3436e-05,0.214365,5.21595e-05,1.13851e-05,650694397781,AIR,163031.5157575524,0.214365,650694397781
AIR,164082.0410201726,5.33471e-05,0.193232,5.2271e-05,1.02047e-05,650694397781,AIR,164082.0410201726,0.193232,650694397781
AIR,165132.5662827929,5.475e-05,0.187217,5.37428e-05,1.01134e-05,650694397781,AIR,165132.5662827929,0.187217,650694397781
AIR,166183.0915454132,5.4952e-05,0.194389,5.38728e-05,1.05869e-05,650694397781,AIR,166183.0915454132,0.194389,650694397781
AIR,167233.6168080335,5.50673e-05,0.176374,5.41579e-05,9.64709e-06,650694397781,AIR,167233.6168080335,0.176374,650694397781
AIR,168284.1420713999,5.31929e-05,0.199938,5.20496e-05,1.06116e-05,650694397781,AIR,168284.1420713999,0.199938,650694397781
AIR,169334.6673340201,5.40514e-05,0.212294,5.2793e-05,1.13563e-05,650694397781,AIR,169334.6673340201,0.212294,650694397781
AIR,170385.1925966404,5.48543e-05,0.191186,5.37503e-05,1.03883e-05,650694397781,AIR,170385.1925966404,0.191186,650694397781
AIR,171435.7178592607,5.45497e-05,0.193202,5.34826e-05,1.0468e-05,650694397781,AIR,171435.7178592607,0.193202,650694397781
AIR,172486.243121881,5.38524e-05,0.171581,5.29907e-05,9.12621e-06,650694397781,AIR,172486.243121881,0.171581,650694397781
AIR,173536.7683845013,5.25872e-05,0.192186,5.15852e-05,1.00586e-05,650694397781,AIR,173536.7683845013,0.192186,650694397781
AIR,174587.2936471216,5.4318e-05,0.22528,5.28708e-05,1.21559e-05,650694397781,AIR,174587.2936471216,0.22528,650694397781
AIR,175637.8189097419,5.41838e-05,0.187259,5.3154e-05,1.00538e-05,650694397781,AIR,175637.8189097419,0.187259,650694397781
AIR,176688.3441723621,5.43048e-05,0.20502,5.31038e-05,1.10601e-05,650694397781,AIR,176688.3441723621,0.20502,650694397781
AIR,177738.8694349824,5.56121e-05,0.174739,5.46974e-05,9.58076e-06,650694397781,AIR,177738.8694349824,0.174739,650694397781
AIR,178789.3946976027,5.57925e-05,0.198574,5.46185e-05,1.10471e-05,650694397781,AIR,178789.3946976027,0.198574,650694397781
AIR,179839.919960223,5.52706e-05,0.191663,5.42081e-05,1.05002e-05,650694397781,AIR,179839.919960223,0.191663,650694397781
AIR,180890.4452228433,5.46919e-05,0.184502,5.37262e-05,1.0004e-05,650694397781,AIR,180890.4452228433,0.184502,650694397781
AIR,181940.9704854635,5.64282e-05,0.199627,5.52428e-05,1.11353e-05,650694397781,AIR,181940.9704854635,0.199627,650694397781
AIR,182991.4957480838,5.49168e-05,0.205447,5.36571e-05,1.11967e-05,650694397781,AIR,182991.4957480838,0.205447,650694397781
AIR,184042.0210107041,5.48444e-05,0.188661,5.38339e-05,1.02713e-05,650694397781,AIR,184042.0210107041,0.188661,650694397781
AIR,185092.5462733244,5.50416e-05,0.173992,5.41759e-05,9.50956e-06,650694397781,AIR,185092.5462733244,0.173992,650694397781
AIR,186143.0715359447,5.56321e-05,0.194,5.45387e-05,1.07561e-05,650694397781,AIR,186143.0715359447,0.194,650694397781
AIR,187193.5967985649,5.5105e-05,0.205468,5.38999e-05,1.12895e-05,650694397781,AIR,187193.5967985649,0.205468,650694397781
AIR,188244.1220611852,5.50631e-05,0.188115,5.39828e-05,1.02314e-05,650694397781,AIR,188244.1220611852,0.188115,650694397781
AIR,189294.6473238055,5.37955e-05,0.179087,5.28804e-05,9.5487e-06,650694397781,AIR,189294.6473238055,0.179087,650694397781
AIR,190345.1725864258,5.54317e-05,0.173438,5.45374e-05,9.56886e-06,650694397781,AIR,190345.1725864258,0.173438,650694397781
AIR,191395.6978490461,5.50705e-05,0.184686,5.41055e-05,1.01141e-05,650694397781,AIR,191395.6978490461,0.184686,650694397781
AIR,192446.2231116664,5.60844e-05,0.21199,5.4771e-05,1.17812e-05,650694397781,AIR,192446.2231116664,0.21199,650694397781
AIR,193496.7483742867,5.52841e-05,0.19078,5.42424e-05,1.04574e-05,650694397781,AIR,193496.7483742867,0.19078,650694397781
AIR,194547.2736369069,5.4894e-05,0.202126,5.37543e-05,1.10459e-05,650694397781,AIR,194547.2736369069,0.202126,650694397781
AIR,195597.7988995272,5.49518e-05,0.194067,5.38696e-05,1.06026e-05,650694397781,AIR,195597.7988995272,0.194067,650694397781
AIR,196648.3241621475,5.5381e-05,0.185193,5.43902e-05,1.01614e-05,650694397781,AIR,196648.3241621475,0.185193,650694397781
AIR,197698.8494247678,5.47219e-05,0.199615,5.35827e-05,1.08467e-05,650694397781,AIR,197698.8494247678,0.199615,650694397781
AIR,198749.3746873881,5.52285e-05,0.174308,5.43536e-05,9.59233e-06,650694397781,AIR,198749.3746873881,0.174308,650694397781
AIR,199799.8999500083,5.56355e-05,0.182356,5.46643e-05,1.01171e-05,650694397781,AIR,199799.8999500083,0.182356,650694397781
AIR,200850.4252126286,5.47625e-05,0.183758,5.37866e-05,1.00188e-05,650694397781,AIR,200850.4252126286,0.183758,650694397781
AIR,201900.9504752489,5.54709e-05,0.185642,5.44663e-05,1.02066e-05,650694397781,AIR,201900.9504752489,0.185642,650694397781
AIR,202951.4757378692,5.53793e-05,0.188782,5.43216e-05,1.03939e-05,650694397781,AIR,202951.4757378692,0.188782,650694397781
AIR,204002.0010004895,5.52598e-05,0.177592,5.43302e-05,9.71699e-06,650694397781,AIR,204002.0010004895,0.177592,650694397781
AIR,205052.5262631098,5.64868e-05,0.169369,5.56359e-05,9.48423e-06,650694397781,AIR,205052.5262631098,0.169369,650694397781
AIR,206103.0515257301,5.54762e-05,0.192586,5.4384e-05,1.06385e-05,650694397781,AIR,206103.0515257301,0.192586,650694397781
AIR,207153.5767883503,5.54856e-05,0.181717,5.45298e-05,1.00129e-05,650694397781,AIR,207153.5767883503,0.181717,650694397781
AIR,208204.1020509706,5.59657e-05,0.185636,5.49121e-05,1.03563e-05,650694397781,AIR,208204.1020509706,0.185636,650694397781
AIR,209254.6273135909,5.56923e-05,0.187459,5.46672e-05,1.0388e-05,650694397781,AIR,209254.6273135909,0.187459,650694397781
AIR,210305.1525762112,5.58523e-05,0.171559,5.49967e-05,9.55947e-06,650694397781,AIR,210305.1525762112,0.171559,650694397781
AIR,211355.6778388315,5.46868e-05,0.19551,5.35914e-05,1.06285e-05,650694397781,AIR,211355.6778388315,0.19551,650694397781
AIR,212406.2031014517,5.63115e-05,0.178287,5.5355e-05,9.97183e-06,650694397781,AIR,212406.2031014517,0.178287,650694397781
AIR,213456.728364072,5.6615e-05,0.16078,5.58246e-05,9.0353e-06,650694397781,AIR,213456.728364072,0.16078,650694397781
AIR,214507.2536266923,5.62395e-05,0.166691,5.54383e-05,9.31035e-06,650694397781,AIR,214507.2536266923,0.166691,650694397781
AIR,215557.7788893126,5.58973e-05,0.195037,5.48017e-05,1.08448e-05,650694397781,AIR,215557.7788893126,0.195037,650694397781
AIR,216608.3041519329,5.68266e-05,0.182598,5.58376e-05,1.02982e-05,650694397781,AIR,216608.3041519329,0.182598,650694397781
AIR,217658.8294145532,5.60082e-05,0.193682,5.49254e-05,1.0765e-05,650694397781,AIR,217658.8294145532,0.193682,650694397781
AIR,218709.3546771735,5.57446e-05,0.165169,5.49194e-05,9.12516e-06,650694397781,AIR,218709.3546771735,0.165169,650694397781
AIR,219759.8799397937,5.74591e-05,0.163858,5.66257e-05,9.38944e-06,650694397781,AIR,219759.8799397937,0.163858,650694397781
AIR,220810.405202414,5.57814e-05,0.153024,5.50805e-05,8.5062e-06,650694397781,AIR,220810.405202414,0.153024,650694397781
AIR,221860.9304650343,5.77103e-05,0.16715,5.68537e-05,9.55961e-06,650694397781,AIR,221860.9304650343,0.16715,650694397781
AIR,222911.4557276546,5.66213e-05,0.162803,5.58153e-05,9.17819e-06,650694397781,AIR,222911.4557276546,0.162803,650694397781
AIR,223961.9809902749,5.50597e-05,0.175937,5.4178e-05,9.63973e-06,650694397781,AIR,223961.9809902749,0.175937,650694397781
AIR,225012.5062528951,5.6535e-05,0.176793,5.56134e-05,9.94454e-06,650694397781,AIR,225012.5062528951,0.176793,650694397781
AIR,226063.0315155154,5.73905e-05,0.161328,5.66036e-05,9.23797e-06,650694397781,AIR,226063.0315155154,0.161328,650694397781
AIR,227113.5567781357,5.68567e-05,0.185912,5.58427e-05,1.05005e-05,650694397781,AIR,227113.5567781357,0.185912,650694397781
AIR,228164.082040756,5.61106e-05,0.165923,5.52504e-05,9.28274e-06,650694397781,AIR,228164.082040756,0.165923,650694397781
AIR,229214.6073033763,5.69769e-05,0.166398,5.61666e-05,9.43371e-06,650694397781,AIR,229214.6073033763,0.166398,650694397781
AIR,230265.1325659966,5.57599e-05,0.189548,5.47306e-05,1.04775e-05,650694397781,AIR,230265.1325659966,0.189548,650694397781
AIR,231315.6578286169,5.77326e-05,0.181784,5.67538e-05,1.04457e-05,650694397781,AIR,231315.6578286169,0.181784,650694397781
AIR,232366.1830912371,5.62999e-05,0.169318,5.54556e-05,9.47436e-06,650694397781,AIR,232366.1830912371,0.169318,650694397781
AIR,233416.7083538574,5.56273e-05,0.178505,5.46843e-05,9.86732e-06,650694397781,AIR,233416.7083538574,0.178505,650694397781
AIR,234467.2336164777,5.72279e-05,0.171291,5.63246e-05,9.76687e-06,650694397781,AIR,234467.2336164777,0.171291,650694397781
AIR,235517.758879098,5.64477e-05,0.176804,5.55027e-05,9.95697e-06,650694397781,AIR,235517.758879098,0.176804,650694397781
AIR,236568.2841417183,5.73292e-05,0.152174,5.6601e-05,8.67954e-06,650694397781,AIR,236568.2841417183,0.152174,650694397781
AIR,237618.8094043385,5.57019e-05,0.148189,5.50553e-05,8.19871e-06,650694397781,AIR,237618.8094043385,0.148189,650694397781
AIR,238669.3346677049,5.63755e-05,0.148738,5.56998e-05,8.35581e-06,650694397781,AIR,238669.3346677049,0.148738,650694397781
AIR,239719.8599303252,5.68878e-05,0.176193,5.59664e-05,9.97192e-06,650694397781,AIR,239719.8599303252,0.176193,650694397781
AIR,240770.3851929455,5.59662e-05,0.170058,5.5082e-05,9.46416e-06,650694397781,AIR,240770.3851929455,0.170058,650694397781
AIR,241820.9104555658,5.7776e-05,0.168112,5.69329e-05,9.64472e-06,650694397781,AIR,241820.9104555658,0.168112,650694397781
AIR,242871.435718186,5.64526e-05,0.165485,5.5649e-05,9.29777e-06,650694397781,AIR,242871.435718186,0.165485,650694397781
AIR,243921.9609808063,5.64541e-05,0.161426,5.56778e-05,9.06305e-06,650694397781,AIR,243921.9609808063,0.161426,650694397781
AIR,244972.4862434266,5.7385e-05,0.160334,5.66363e-05,9.16173e-06,650694397781,AIR,244972.4862434266,0.160334,650694397781
AIR,246023.0115060469,5.71765e-05,0.164408,5.63714e-05,9.35251e-06,650694397781,AIR,246023.0115060469,0.164408,650694397781
